Paper ID,DOI,DOI_short,Methodology,Publisher,Year,data_listed,data_metadata,data_stats,data_type,data_access,preproc_data,preproc_features,multiple data,opt_mentioned,opt_baseline,opt_procedure,params_models,params_baselines,params_best_model,params_best_baseline,eval_splitting,eval_metrics,eval_sig_test,code_link,code_empty,code_preproc,code_features_gen,code_eval,code_params_opt,code_info,code_runable
39,https://doi.org/10.1145/3508259.3508281,10.1145/3508259.3508281,ML,ACM,2022,y,y,y,real-world,public,y,y,na,y,n,y,n,n,n,n,Single-Split,"F1 score, F2 score, FPR, G-mean, Sensitivity, Specitivity, TPR",n,y,n,y,y,y,y,y,y
40,https://doi.org/10.1016/j.ifacol.2024.08.346,10.1016/j.ifacol.2024.08.346,MB+ML,SCP,2024,n,n,n,No Information,No Information,n,y,na,y,n,y,n,n,n,n,No Information,Cluster related,n,n,na,na,na,na,na,na,na
41,https://doi.org/10.1016/j.ifacol.2024.07.253,10.1016/j.ifacol.2024.07.253,MB+ML,SCP,2024,n,n,n,real-world,No Information,y,y,na,n,n,n,n,n,n,n,Single-Split,"Accuracy, FNR, FPR, Operational KPIs",n,n,na,na,na,na,na,na,na
42,https://doi.org/10.1109/CoDIT62066.2024.10708526,10.1109/CoDIT62066.2024.10708526,ML,SCP,2024,y,y,n,real-world,purchasable,n,n,na,y,y,y,y,n,n,n,Train/Validation/Test,"Accuracy, Confusion Matrix, F1 score, Precision, Recall",y,n,na,na,na,na,na,na,na
43,https://doi.org/10.1109/IJCNN60899.2024.10649959,10.1109/IJCNN60899.2024.10649959,ML,SCP,2024,n,y,y,real-world,No Information,y,n,na,y,n,y,n,n,y,n,Single-Split,"Accuracy, F1 score, Precision, Qualitative metrics, Recall",n,n,na,na,na,na,na,na,na
44,https://doi.org/10.1109/I2MTC60896.2024.10560803,10.1109/I2MTC60896.2024.10560803,ML,SCP,2024,n,y,y,real-world,No Information,n,n,na,n,n,n,n,n,y,n,Single-Split,Error Est.,n,n,na,na,na,na,na,na,na
45,https://doi.org/10.1109/PHM-Hangzhou58797.2023.10482468,10.1109/PHM-Hangzhou58797.2023.10482468,ML,SCP,2023,y,n,n,real-world,purchasable,y,y,na,y,n,n,n,n,y,n,Cross Validation,"Accuracy, Confusion Matrix, F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
46,https://doi.org/10.1109/ICIST59754.2023.10367087,10.1109/ICIST59754.2023.10367087,ML,SCP,2023,y,y,y,real-world,purchasable,n,y,na,n,n,n,n,n,n,n,Cross Validation,Accuracy,n,n,na,na,na,na,na,na,na
47,https://doi.org/10.26868/25222708.2023.1730,10.26868/25222708.2023.1730,ML,SCP,2023,y,y,y,simulation,purchasable,n,y,na,y,n,y,n,n,n,n,Cross Validation,"Accuracy, Precision, Recall, Specitivity",n,n,na,na,na,na,na,na,na
48,https://doi.org/10.26868/25222708.2023.1240,10.26868/25222708.2023.1240,ML,SCP,2023,n,y,n,"real-world, simulation",No Information,n,y,y,y,n,y,y,n,y,n,Train/Validation/Test,"Charts, Confusion Matrix, Error Est., Fault Detection Rate",n,n,na,na,na,na,na,na,na
49,https://doi.org/10.1109/ITOEC57671.2023.10291546,10.1109/ITOEC57671.2023.10291546,ML,SCP,2023,n,y,n,experiment,No Information,n,n,na,n,n,n,n,n,n,n,No Information,Accuracy,n,n,na,na,na,na,na,na,na
50,https://doi.org/10.35490/EC3.2023.213,10.35490/EC3.2023.213,ML,SCP,2023,n,y,n,real-world,No Information,n,n,na,n,n,n,n,n,n,n,No Information,"Accuracy, Cluster related, Precision, Sensitivity, Specitivity",n,n,na,na,na,na,na,na,na
51,https://doi.org/10.26868/25222708.2021.30357,10.26868/25222708.2021.30357,ML,SCP,2021,n,n,n,"real-world, simulation",No Information,n,y,na,n,n,n,n,n,n,n,Out of Sample,"Accuracy, Fault Detection Rate",n,n,na,na,na,na,na,na,na
52,https://doi.org/10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927944,10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927944,ML,SCP,2022,y,y,y,real-world,purchasable,n,y,y,n,n,n,n,n,n,n,No Information,"F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
53,https://doi.org/10.4230/OASIcs.DX.2024.22,10.4230/OASIcs.DX.2024.22,ML,SCP,2024,n,y,y,simulation,No Information,n,y,na,n,n,n,n,n,n,n,Single-Split,"Error Est., no metrics",n,n,na,na,na,na,na,na,na
54,https://doi.org/10.1016/j.ifacol.2022.07.152,10.1016/j.ifacol.2022.07.152,MB+ML,SCP,2022,y,y,n,simulation,public,n,y,na,y,n,y,n,n,y,n,No Information,"Charts, Error Est.",n,n,na,na,na,na,na,na,na
55,https://doi.org/10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00291,10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00291,ML,SCP,2021,n,n,n,No Information,No Information,n,n,na,n,n,n,n,n,n,n,No Information,no metrics,n,n,na,na,na,na,na,na,na
56,https://doi.org/10.1109/SmartNets50376.2021.9555424,10.1109/SmartNets50376.2021.9555424,ML+KB,SCP,2021,n,y,n,real-world,No Information,y,y,na,n,n,n,n,n,n,n,No Information,"Accuracy, Confusion Matrix, Precision, Recall",n,n,na,na,na,na,na,na,na
57,https://doi.org/10.1088/1755-1315/675/1/012196,10.1088/1755-1315/675/1/012196,ML,SCP,2021,n,y,n,experiment,No Information,y,y,na,n,n,n,n,n,n,n,Train/Validation/Test,Accuracy,n,n,na,na,na,na,na,na,na
58,https://doi.org/10.1051/e3sconf/202123303057,10.1051/e3sconf/202123303057,ML,SCP,2021,y,n,n,real-world,purchasable,n,y,na,n,n,n,n,n,n,n,Single-Split,Q-statistic,n,n,na,na,na,na,na,na,na
59,https://doi.org/10.1109/ISAP48318.2019.9065995,10.1109/ISAP48318.2019.9065995,ML,SCP,2019,n,y,y,real-world,No Information,n,y,na,n,n,n,n,n,n,n,Train/Validation/Test,"Accuracy, Confusion Matrix",n,n,na,na,na,na,na,na,na
60,https://doi.org/10.1109/IECON43393.2020.9254466,10.1109/IECON43393.2020.9254466,ML,SCP,2020,n,n,n,real-world,No Information,n,n,na,y,n,y,y,n,y,n,Single-Split,"Accuracy, Confusion Matrix, F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
61,https://doi.org/10.1109/ICIoT48696.2020.9089508,10.1109/ICIoT48696.2020.9089508,ML,SCP,2020,n,y,y,simulation,No Information,n,y,na,y,n,y,n,n,y,n,Single-Split,"Accuracy, F1 score, FPR, Fault Detection Rate, Precision, Qualitative metrics, Recall, Sensitivity, Specitivity, specitivity",n,n,na,na,na,na,na,na,na
62,https://doi.org/10.26868/25222708.2019.210311,10.26868/25222708.2019.210311,MB+ML,SCP,2019,n,y,n,"real-world, simulation",No Information,n,y,na,y,n,n,n,n,n,n,Out of Sample,"Accuracy, Charts",n,n,na,na,na,na,na,na,na
63,https://doi.org/10.1016/j.energy.2020.117323,10.1016/j.energy.2020.117323,ML,SCP,2020,y,y,y,experiment,proprietary,n,y,y,n,n,n,n,n,n,n,Cross Validation,"Accuracy, Charts",n,n,na,na,na,na,na,na,na
64,https://doi.org/10.1109/COASE.2017.8256214,10.1109/COASE.2017.8256214,MB+ML,SCP,2017,y,y,n,"real-world, simulation",purchasable,n,y,na,n,n,n,n,n,n,n,Out of Sample,"Charts, F1 score",n,n,na,na,na,na,na,na,na
65,https://doi.org/10.1109/CoASE.2014.6899463,10.1109/CoASE.2014.6899463,MB+ML,SCP,2014,n,y,y,simulation,No Information,y,y,na,n,n,n,n,n,n,n,No Information,"Charts, Error Est., Q-statistic",n,n,na,na,na,na,na,na,na
