Paper ID,DOI,Methodology,Publisher,Year,1a. Are all the data sources listed?,1b. What type of data is used?,1c. Dataset statistics present?,1d. Data availability,1e. Benchmark Dataset,1f. Metadata/Description,2a. pre porcessing steps,2b. removed source data,2c. multiple sources: combination clear?,2d. methods for features/descriptors,3a. HP opt - model(s),3b. HP opt - baseline(s),3c. HP opt procedure,3d. searched ranges - model,3e. searched ranges - baselines,3f. best HP - model,3g. best HP - baselines,4a. what splitting type,4b. splitting method,4c. splitting type (evaluation procedure),4d. data leakage,4e. metrics,4f. stat sig tests,5a. code/workflow repo,5b.  empty repo ,5c. data preprocessing code,5d. feature generation code,5e. evaluation code,5f. hyperparameter tuning code,5g. supplementary info,5h. sw implementation
38,https://dl.acm.org/doi/10.5555/2873021.2873029,ML+KB,ACM,2015,n,"real-world, simulation",n,not mentioned,,n,n,,na,n,n,n,n,n,n,n,n,not mentioned,,,,no metrics,n,n,na,na,na,na,na,na,na
39,https://doi.org/10.1145/3508259.3508281,ML,ACM,2022,y,real-world,y,public,,y,y,,na,y,y,n,y,n,n,n,n,Single-Split,,,,"F1 score, F2 score, FPR, G-mean, Sensitivity, Specitivity, TPR, sensitivity, specitivity",n,y,n,y,y,y,y,y,y
40,https://doi.org/10.1016/j.ifacol.2024.08.346,MB+ML,SCP,2024,n,not mentioned,n,not mentioned,,n,n,,na,y,y,n,y,n,n,n,n,not mentioned,,,,Cluster related (Silhouette Index ...),n,n,na,na,na,na,na,na,na
41,https://doi.org/10.1016/j.ifacol.2024.07.253,MB+ML,SCP,2024,n,real-world,n,not mentioned,,n,y,,na,y,n,n,n,n,n,n,n,Single-Split,,,,"""Operational KPIs (man hour reduction, Accuracy, FNR, FPR, timeliness rate etc)""",n,n,na,na,na,na,na,na,na
42,https://doi.org/10.1109/CoDIT62066.2024.10708526,ML,SCP,2024,y,real-world,n,purchasable,,y,n,,na,n,y,y,y,y,n,n,n,T/V/T,,,,"Accuracy, Confusion Matrix, F1 score, Precision, Recall",y,n,na,na,na,na,na,na,na
43,https://doi.org/10.1109/IJCNN60899.2024.10649959,ML,SCP,2024,n,real-world,y,not mentioned,,y,y,,na,n,y,n,y,n,n,y,n,Single-Split,,,,"""Qualitative metrics (estimations, Accuracy, F1 score, Precision, Recall, etc)"", false alram rates",n,n,na,na,na,na,na,na,na
44,https://doi.org/10.1109/I2MTC60896.2024.10560803,ML,SCP,2024,n,real-world,y,not mentioned,,y,n,,na,n,n,n,n,n,n,y,n,Single-Split,,,,Error Est.,n,n,na,na,na,na,na,na,na
45,https://doi.org/10.1109/PHM-Hangzhou58797.2023.10482468,ML,SCP,2023,y,real-world,n,purchasable,,n,y,,na,y,y,n,n,n,n,y,n,Cross Validation,,,,"Accuracy, Confusion Matrix, F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
46,https://doi.org/10.1109/ICIST59754.2023.10367087,ML,SCP,2023,y,real-world,y,purchasable,,y,n,,na,y,n,n,n,n,n,n,n,Cross Validation,,,,Accuracy,n,n,na,na,na,na,na,na,na
47,https://doi.org/10.26868/25222708.2023.1730,ML,SCP,2023,y,simulation,y,purchasable,,y,n,,na,y,y,n,y,n,n,n,n,Cross Validation,,,,"Accuracy, Precision, Recall, Specitivity",n,n,na,na,na,na,na,na,na
48,https://doi.org/10.26868/25222708.2023.1240,ML,SCP,2023,n,"real-world, simulation",n,not mentioned,,y,n,,y,y,y,n,y,y,n,y,n,T/V/T,,,,"Charts, Confusion Matrix, Error Est., Fault Detection Rate",n,n,na,na,na,na,na,na,na
49,https://doi.org/10.1109/ITOEC57671.2023.10291546,ML,SCP,2023,n,experiment,n,not mentioned,,y,n,,na,n,n,n,n,n,n,n,n,not mentioned,,,,Accuracy,n,n,na,na,na,na,na,na,na
50,http://www.doi.org/10.35490/EC3.2023.213,ML,SCP,2023,n,real-world,n,not mentioned,,y,n,,na,n,n,n,n,n,n,n,n,not mentioned,,,,"Accuracy, Cluster related (Silhouette Index ...), Precision, Sensitivity, Specitivity",n,n,na,na,na,na,na,na,na
51,https://doi.org/10.26868/25222708.2021.30357,ML,SCP,2021,n,"real-world, simulation",n,not mentioned,,n,n,,na,y,n,n,n,n,n,n,n,Out of Sample,,,,"Accuracy, Fault Detection Rate",n,n,na,na,na,na,na,na,na
